result1,result2,result3,result5,result4,resulr5,Skipping_7,result6,result7
1073809408,1073809408,1073809408,1073809408,1073809408,1073809408,1073809408,1073809408,1073809408
15,15,15,21,96,15,15,15,9
134217728,134217728,134217728,134217728,134217728,134217728,134217728,134217728,134217728
115,105,115,105,105,105,100,45,34
31,31,31,31,31,101,31,20,22
117,107,117,107,107,107,-2147483648,28,36
12,12,12,12,12,12,12,12,12
536878360,536878360,536878360,536878360,536878360,536878360,536878360,536878360,536878360
20,20,20,20,20,20,20,20,20
12,12,12,12,12,12,12,12,12
536871168,536871168,536871168,536871168,536871168,536871168,536871168,536871168,536871168
0,0,0,0,0,0,0,0,0
536878360,536878360,536878360,536878360,536878360,536878360,536878360,536878360,536878360
21,21,22,22,22,22,21,22,21
9000,15,9500,9500,92,6,4,9,10
,,,,,,,,
,,,,,,,,
